ID,Section,Requirement Statement,Type,Priority,Verification Methods (from SRS),Primary Method (select),Acceptance Criteria,Agent Procedure (step-by-step),Evidence to Collect,Owner/Role,Phase/Gate,Status,Date Last Updated,Test Case ID / Link,Upstream Trace,Downstream Trace,Notes,Rationale,Risk,Assumptions,Constraints,Version & Change Notes,Verification Detail,Verification Level
TRW-012,9.2 Versioning & Bump Logic,"In **PR CI context**, the bump type **shall be determined by PR labels**: `major`, `minor`, or `patch`; exactly one such label shall be present; if none, **default to `patch`**; if multiple, **fail** the computation with a clear diagnostic.",Functional/Performance,High,Test,Test,Bump type follows labels; multiple label case fails; none defaults to `patch`. Pass when observed failures = 0 and required events are captured in logs with timestamps.,"Create a PR with label `major`, then with `minor`, then with `patch`.Create a PR with multiple bump labels to observe failure.Create a PR with no bump labels to observe default.",CI logs mapping label to bump type.; Failure log for multiple labels.,Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/workflows/ci.yml jobs test-compute-version-bump and version outputs,"Derived from SRS line 122; Compute-version action selects bump from PR labels (major/minor/patch), defaults to patch when none, and fails with a clear diagnostic if multiple labels are present.",Ensures deterministic semantic version selection for releases and artifacts.,Risk: incorrect bump creates wrong tags/releases; mitigations: matrix tests and guard rails on labels/branches.,Assumes reachable git tags and label metadata are available in CI context.,Runs in GitHub Actions; uses repo history and labels; no manual tag moves.,1 | hash=cf6325968a8a | Baseline 2025-11-26,"Demonstration/Test: list witnesses/roles, facility or environment, equipment/data capture, and pass/fail computation (.",System
TRW-013,9.2 Versioning & Bump Logic,"In **push context on release branches**, the default bump type **shall be at least `patch`** unless overridden by explicit configuration.",Functional/Performance,High,Test,Test,Push on release branches yields at least a `patch` bump by default.,"Push commits to a release branch (e.g., `release-alpha/x`).Observe default bump type selection (≥ patch) unless overridden in config.",Logs showing selected bump type and branch context.,Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/workflows/ci.yml jobs test-compute-version-bump and version outputs,"Derived from SRS line 123; Compute-version action defaults bump to patch on release branches (release-alpha/*, release-beta/*, release-rc/*, release/*) in non-PR contexts.",Ensures deterministic semantic version selection for releases and artifacts.,Risk: incorrect bump creates wrong tags/releases; mitigations: matrix tests and guard rails on labels/branches.,Assumes reachable git tags and label metadata are available in CI context.,Runs in GitHub Actions; uses repo history and labels; no manual tag moves.,1 | hash=dde5342d4b5b | Baseline 2025-11-26,"Demonstration/Test: list witnesses/roles, facility or environment, equipment/data capture, and pass/fail computation (.",System
TRW-014,9.2 Versioning & Bump Logic,"The workflow **shall emit outputs**: `MAJOR`, `MINOR`, `PATCH`, `BUILD_NUMBER`, `VERSION_STRING`, and `IS_PRERELEASE`.",Interface,High,Test,Test,"`MAJOR`, `MINOR`, `PATCH`, `BUILD_NUMBER`, `VERSION_STRING`, and `IS_PRERELEASE` are exported and visible to subsequent steps. Pass when observed failures = 0 and required events are captured in logs with timestamps.",Run the version step and capture exported outputs.,Job output or `GITHUB_OUTPUT` file contents.,Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/workflows/ci.yml jobs test-compute-version-bump and version outputs,"Derived from SRS line 124; Compute-version action exports MAJOR, MINOR, PATCH, BUILD_NUMBER, VERSION_STRING, and IS_PRERELEASE for downstream steps.",Ensures deterministic semantic version selection for releases and artifacts.,Risk: incorrect bump creates wrong tags/releases; mitigations: matrix tests and guard rails on labels/branches.,Assumes reachable git tags and label metadata are available in CI context.,Runs in GitHub Actions; uses repo history and labels; no manual tag moves.,1 | hash=76c8368486a5 | Baseline 2025-11-26,"Demonstration/Test: list witnesses/roles, facility or environment, equipment/data capture, and pass/fail computation (.",System
TRW-015,9.2 Versioning & Bump Logic,Pre‑release suffix rules **shall** be applied by branch: `release-alpha/*` → `alpha.<BUILD>`; `release-beta/*` → `beta.<BUILD>`; `release-rc/*` → `rc.<BUILD>`; other allowed stable branches → **no suffix**.,Functional/Performance,High,Test,Test,"Suffixes match `alpha.<BUILD>`, `beta.<BUILD>`, `rc.<BUILD>`; stable has none. Pass when observed failures = 0 and required events are captured in logs with timestamps.","Execute the workflow on `release-alpha/*`, `release-beta/*`, and `release-rc/*` branches and on a stable branch.Verify suffix formation per branch and that stable branches have no suffix.",Computed version strings for each branch case.,Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/workflows/ci.yml jobs test-compute-version-bump and version outputs,"Derived from SRS line 125; Compute-version action applies suffixes alpha.<BUILD>, beta.<BUILD>, rc.<BUILD> for release-alpha/beta/rc branches and no suffix for stable branches.",Ensures deterministic semantic version selection for releases and artifacts.,Risk: incorrect bump creates wrong tags/releases; mitigations: matrix tests and guard rails on labels/branches.,Assumes reachable git tags and label metadata are available in CI context.,Runs in GitHub Actions; uses repo history and labels; no manual tag moves.,1 | hash=78f0eced6026 | Baseline 2025-11-26,"Demonstration/Test: list witnesses/roles, facility or environment, equipment/data capture, and pass/fail computation (.",System
TRW-016,9.2 Versioning & Bump Logic,Stable branches **shall** produce versions **without** any pre‑release suffix; pre‑release branches **shall** include the configured suffix.,Functional/Performance,High,Test,Test,Stable branches produce suffix-free versions; prerelease branches include suffix. Pass when observed failures = 0 and required events are captured in logs with timestamps.,Trigger runs on stable vs prerelease branches.Confirm that only prerelease branches append a suffix.,Logs showing `IS_PRERELEASE` and final version strings.,Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/workflows/ci.yml jobs test-compute-version-bump and version outputs,Derived from SRS line 126; Compute-version action marks prerelease branches with suffix and sets IS_PRERELEASE=true; stable branches emit no suffix and IS_PRERELEASE=false.,Ensures deterministic semantic version selection for releases and artifacts.,Risk: incorrect bump creates wrong tags/releases; mitigations: matrix tests and guard rails on labels/branches.,Assumes reachable git tags and label metadata are available in CI context.,Runs in GitHub Actions; uses repo history and labels; no manual tag moves.,1 | hash=69be64b3ddad | Baseline 2025-11-26,"Demonstration/Test: list witnesses/roles, facility or environment, equipment/data capture, and pass/fail computation (.",System
TRW-017,9.2 Versioning & Bump Logic,Release version strings shall use a four-part semantic format (MAJOR.MINOR.PATCH.BUILD) with an optional leading `v`; example: `v0.2.2.1503` for tags and artifacts.,Interface,High,"Inspection, Test",Inspection,"VERSION_STRING, tag names, and artifact names match regex ^v?\\d+\\.\\d+\\.\\d+\\.\\d+$; BUILD equals the computed build number for the run. Pass when observed failures = 0 and required events are captured in logs with timestamps.",Run the compute-version step; capture VERSION_STRING/BUILD_NUMBER and produced tag/artifact names; verify pattern match and build alignment.,"CI logs showing VERSION_STRING, BUILD_NUMBER, and emitted tag/artifact names.",Automation QA (Agent),CI Integration,Proposed,2025-12-02,.github/actions/compute-version,.github/workflows/ci.yml version outputs,.github/workflows/draft-release.yml tag/check logic,,Ensures consistent four-part versions for releases and artifacts.,Risk: malformed versions block releases.,Assumes compute-version emits MAJOR/MINOR/PATCH/BUILD outputs.,Four numeric segments with optional leading v prefix.,1 | hash=5462aad2f882 | Baseline 2025-12-02,Inspection: verify regex match and build alignment from CI logs; cite run id and outputs.,System
TRW-020,9.3 Tag Naming & Uniqueness,The tag name format **shall be** `v<MAJOR>.<MINOR>.<PATCH>.<BUILD>`.,Interface,High,"Inspection, Test",Inspection,Tag string matches exact pattern `vX.Y.Z.N`.,"Confirm tag format logic produces `v<MAJOR>.<MINOR>.<PATCH>.<BUILD>` (with optional suffix in version, not in tag).Generate example tags from computed version.",Printed tag value; regex check result.,Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/workflows/draft-release.yml tag/check logic,.github/workflows/draft-release.yml tag/check logic,.github/workflows/ci.yml job test-tag-existence-check,Derived from SRS line 132; draft-release workflow forms tags as v<MAJOR>.<MINOR>.<PATCH>.<BUILD> without prerelease suffix.,Prevents tag collisions and enforces predictable naming for release automation.,Risk: tags overwritten or malformed; mitigation via preflight checks and failure on mismatch.,Assumes git remote reachable and permissions to read tags.,Uses GITHUB_TOKEN with contents:write; no destructive tag moves permitted.,1 | hash=012568abaaee | Baseline 2025-11-26,Inspection: compare referenced workflow/spec path ( to requirement; cite lines in evidence and include snippet.,System
TRW-020B,9.3 Tag Naming & Uniqueness,The tag name shall exclude any prerelease suffix even when VERSION_STRING includes a prerelease suffix.,Interface,High,"Inspection, Test",Inspection,Computed tag matches regex `^v[0-9]+\.[0-9]+\.[0-9]+\.[0-9]+$`; VERSION_STRING may include prerelease suffix but tag does not contain alpha/beta/rc tokens.,"Run version computation for a prerelease branch (e.g., release-beta/*) producing VERSION_STRING with suffix; verify resulting tag omits suffix and matches vMAJOR.MINOR.PATCH.BUILD.",VERSION_STRING value with suffix; computed tag value; regex proof/tag check logs.,Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/workflows/draft-release.yml tag/check logic,.github/workflows/draft-release.yml tag/check logic,.github/workflows/ci.yml job test-tag-existence-check,Negative assurance that prerelease markers stay out of tags.,Prevents tag collisions and enforces predictable naming for release automation.,Risk: tags overwritten or malformed; mitigation via preflight checks and failure on mismatch.,Assumes git remote reachable and permissions to read tags.,Uses GITHUB_TOKEN with contents:write; no destructive tag moves permitted.,1 | hash=ec4f3778d0f3 | Added prerelease-tag exclusion 2025-11-26,Inspection: compare referenced workflow/spec path ( to requirement; cite lines in evidence and include snippet.,System
TRW-021,9.3 Tag Naming & Uniqueness,"Before creating a tag, the workflow **shall check** for an existing tag with the same name and, if present, **shall retrieve its target SHA**.",Functional/Performance,High,Test,Test,"If tag exists, corresponding object SHA is retrieved. Pass when observed failures = 0 and required events are captured in logs with timestamps.",Query repository for tag existence (via `git ls-remote --tags` or API).Capture SHA if present.,Command output or API response showing tag and SHA.,Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/workflows/draft-release.yml tag/check logic,.github/workflows/draft-release.yml tag/check logic,.github/workflows/ci.yml job test-tag-existence-check,Derived from SRS line 133; draft-release workflow checks origin for existing tag and captures SHA via git ls-remote before creation.,Prevents tag collisions and enforces predictable naming for release automation.,Risk: tags overwritten or malformed; mitigation via preflight checks and failure on mismatch.,Assumes git remote reachable and permissions to read tags.,Uses GITHUB_TOKEN with contents:write; no destructive tag moves permitted.,1 | hash=3696dbbe2b88 | Baseline 2025-11-26,"Demonstration/Test: list witnesses/roles, facility or environment, equipment/data capture, and pass/fail computation (.",System
TRW-018,9.2 Versioning & Bump Logic,"Non-main branches (e.g., develop, release-*/alpha/beta/rc) shall emit a prerelease VERSION_STRING with rc.<BUILD> suffix while tags and artifact filenames remain four-part vMAJOR.MINOR.PATCH.BUILD and IS_PRERELEASE is true.",Process,High,"Inspection, Test",Inspection,Pass when: (1) CI run on develop/release-* shows VERSION_STRING with rc.<BUILD> suffix and IS_PRERELEASE=true; (2) tag and artifact filenames remain vMAJOR.MINOR.PATCH.BUILD (no rc token); (3) main/stable runs omit prerelease suffix and set IS_PRERELEASE=false.,"Trigger CI on develop and a release-rc/* branch; capture version-report outputs, tag selection, artifact names, and IS_PRERELEASE; verify prerelease fields on non-main and absence on main.",Version-report JSON/TXT; CI logs showing version string/tag/IS_PRERELEASE; artifact name listing.,Automation QA (Agent),CI Integration,Proposed,2025-12-02,.github/actions/compute-version; .github/workflows/ci.yml (version job, version-report job),TRW-017; TRW-020,TRW-040/040B/040C,Ensures prerelease labeling on non-main branches while keeping tags/artifacts four-part.,Risk: missing prerelease markers or malformed tags; mitigated by enforced suffix/tag rules.,Assumes branch naming uses develop and release-*/alpha/beta/rc patterns.,-,3 | hash=79bcd069b924 | Statement normalization for RC prerelease 2025-12-02,Inspection/log review of compute-version/version-report outputs and artifact names on develop and release-rc branches (.github/actions/compute-version; .github/workflows/ci.yml).,System
TRW-019,9.2 Versioning & Bump Logic,"Feature branches (feature/*, hotfix/*) shall emit a prerelease VERSION_STRING with feat.<BUILD> suffix while tags and artifact filenames remain four-part vMAJOR.MINOR.PATCH.BUILD and IS_PRERELEASE is true.",Process,High,"Inspection, Test",Inspection,Pass when: (1) CI run on feature/* or hotfix/* shows VERSION_STRING with feat.<BUILD> suffix and IS_PRERELEASE=true; (2) tag and artifact filenames remain vMAJOR.MINOR.PATCH.BUILD (no feat token); (3) main/stable runs omit prerelease suffix and set IS_PRERELEASE=false.,"Trigger CI on a feature/* branch; capture version-report outputs, tag selection, artifact names, and IS_PRERELEASE; verify prerelease fields on feature/hotfix and absence on main.",Version-report JSON/TXT; CI logs showing version string/tag/IS_PRERELEASE; artifact name listing.,Automation QA (Agent),CI Integration,Proposed,2025-12-02,.github/actions/compute-version; .github/workflows/ci.yml (version job, version-report job),TRW-017; TRW-020,TRW-040/040B/040C,Provides stricter prerelease labeling for collaborator feature/hotfix builds while keeping tags/artifacts four-part.,Risk: missing prerelease markers or malformed tags; mitigated by enforced suffix/tag rules.,Assumes branch naming uses feature/* and hotfix/* patterns.,-,3 | hash=f938f7ebf9b2 | Statement normalization for feature prerelease 2025-12-02,Inspection/log review of compute-version/version-report outputs and artifact names on feature/hotfix branches (.github/actions/compute-version; .github/workflows/ci.yml).,System
TRW-022,9.3 Tag Naming & Uniqueness,"If the tag exists and **resolves to the same commit** SHA as the current run, the workflow **shall treat the condition as success** and **shall not** create a duplicate tag; release creation may be skipped per configuration.",Functional/Performance,High,Test,Test,Existing tag on same commit is treated as success; no duplicate operations performed. Pass when observed failures = 0 and required events are captured in logs with timestamps.,Create a tag on the same commit and rerun workflow.Observe that run treats it as success and optionally skips release creation per config.,Logs indicating detection of same-commit tag and skip path.,Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/workflows/draft-release.yml tag/check logic,.github/workflows/draft-release.yml tag/check logic,.github/workflows/ci.yml job test-tag-existence-check,Derived from SRS line 134; draft-release workflow treats existing tag on same commit as success and skips duplicate creation.,Prevents tag collisions and enforces predictable naming for release automation.,Risk: tags overwritten or malformed; mitigation via preflight checks and failure on mismatch.,Assumes git remote reachable and permissions to read tags.,Uses GITHUB_TOKEN with contents:write; no destructive tag moves permitted.,1 | hash=7f17c7e7fcf6 | Baseline 2025-11-26,"Demonstration/Test: list witnesses/roles, facility or environment, equipment/data capture, and pass/fail computation (.",System
